WIFI_0_BSSID,WIFI_1_BSSID,WIFI_2_BSSID,WIFI_3_BSSID,WIFI_4_BSSID,WIFI_0_LEVEL,WIFI_1_LEVEL,WIFI_2_LEVEL,WIFI_3_LEVEL,WIFI_4_LEVEL,MAGNETIC_FIELD_uT
31,45,46,47,43,-69,-72,-72,-72,-74,42.97826315
31,45,46,47,43,-69,-72,-72,-72,-74,42.85478779
31,45,46,47,43,-69,-72,-72,-72,-74,45.76784947
31,45,46,47,43,-69,-72,-72,-72,-74,46.72074097
31,45,46,47,43,-69,-72,-72,-72,-74,46.03005133
31,45,46,47,43,-69,-72,-72,-72,-74,46.73621381
31,45,46,47,43,-69,-72,-72,-72,-74,44.42402249
31,45,46,47,43,-69,-72,-72,-72,-74,45.41107005
31,45,46,47,43,-69,-72,-72,-72,-74,43.03451643
31,45,46,47,43,-69,-72,-72,-72,-74,41.41043464
31,45,46,47,43,-69,-72,-72,-72,-74,42.41270331
31,45,46,47,43,-69,-72,-72,-72,-74,46.44821598
31,45,46,47,43,-69,-72,-72,-72,-74,45.94922788
31,45,46,47,43,-69,-72,-72,-72,-74,38.30773319
31,45,46,47,43,-69,-72,-72,-72,-74,40.53672501
31,45,46,47,43,-69,-72,-72,-72,-74,38.68548845
31,45,46,47,43,-69,-72,-72,-72,-74,38.50088302
31,45,46,47,43,-69,-72,-72,-72,-74,39.59679133
31,45,46,47,43,-69,-72,-72,-72,-74,42.8358399
31,45,46,47,43,-69,-72,-72,-72,-74,43.71003057
31,45,46,47,43,-69,-72,-72,-72,-74,46.8400182
31,45,46,47,43,-69,-72,-72,-72,-74,41.34487491
31,45,46,47,43,-69,-72,-72,-72,-74,41.47300927
31,45,46,47,43,-69,-72,-72,-72,-74,42.45688875
31,45,46,47,43,-69,-72,-72,-72,-74,42.74175268
31,45,46,47,43,-69,-72,-72,-72,-74,39.54655707
31,45,46,47,43,-69,-72,-72,-72,-74,38.64288686
31,45,46,47,43,-69,-72,-72,-72,-74,35.88030095
31,45,46,47,43,-69,-72,-72,-72,-74,35.05001484
31,45,46,47,43,-69,-72,-72,-72,-74,35.05001484
31,45,46,47,43,-69,-72,-72,-72,-74,35.05001484
