WIFI_0_BSSID,WIFI_1_BSSID,WIFI_2_BSSID,WIFI_3_BSSID,WIFI_4_BSSID,WIFI_0_LEVEL,WIFI_1_LEVEL,WIFI_2_LEVEL,WIFI_3_LEVEL,WIFI_4_LEVEL,MAGNETIC_FIELD_uT,LOCATION
f4:2e:7f:79:a3:23,f4:2e:7f:79:a3:22,f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:24,f4:2e:7f:79:a3:33,-55,-55,-56,-56,-62,36.67783625,indoor
f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,-51,-54,-54,-54,-54,35.9739014,indoor
f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,-51,-54,-54,-54,-54,37.60008129,indoor
f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:32,-51,-52,-52,-52,-54,35.10302047,indoor
f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:32,-51,-52,-52,-52,-54,33.12993404,indoor
f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:25,-51,-51,-51,-51,-52,34.10710955,indoor
f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:32,-58,-58,-58,-58,-61,34.24416329,indoor
f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,f4:2e:7f:79:a3:32,-58,-58,-58,-58,-61,34.01618483,indoor
f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,-50,-52,-52,-52,-52,36.23511278,indoor
f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,-50,-51,-51,-51,-51,31.16370703,indoor
f4:2e:7f:79:a3:32,f4:2e:7f:79:a3:33,f4:2e:7f:79:a3:34,f4:2e:7f:79:a3:35,f4:2e:7f:79:a3:36,-47,-52,-52,-52,-52,30.52720055,indoor
